"CD_CONTA","CONTA","TRIMESTRE","Alphaville","CR2","Cury","Cyrela","Direcional","EZ Inc","Emccamp","Even","Ez Tec","Gafisa","Helbor","Inter","JHSF","João Fortes","Kallas","Lavvi","Lindenberg","MRV","Melnick","Metrocasa","Mitre","Moura Dubex","PDG Realty","Pacaembu","Patrimar","Plano & Plano","RNI","Rossi","Sugoi","Tecnisa","Tegra","Tenda","Trisul","Viver","You Inc","Yuny"
"1","1 - Ativo Total","2T23",1422975,104682,2836650,16825149,6806671,1328448,928949,6874003,5708397,5465380,5512858,1046809,10661379,1136678,1842891,2031994,204899,23344674,2402663,897650,2165804,3077292,1100906,792329,1820265,1891634,2305417,645041,470701,1567755,4247837,4306526,2677370,325398,1774430,499737
"1.01","1.01 - Ativo Circulante","2T23",380904,10448,2188831,8840339,3272453,163640,593374,5474620,2329851,3876743,3731742,443028,3229379,924921,1120862,1567628,62110,11008252,1973690,651678,1717723,1150722,860139,691989,1299517,1629932,701238,354694,123306,831367,2407695,2223934,1988441,164848,1495948,259435
"1.01.01","1.01.01 - Caixa e Equivalentes de Caixa","2T23",1904,0,556696,231861,637397,3502,145006,7384,47806,11042,262276,38809,374352,17879,171860,34872,12274,609856,2113,179754,178080,193381,75011,277349,279255,161171,36334,4913,18261,143211,384716,62776,277678,30631,92602,14481
"1.01.02","1.01.02 - Aplicações Financeiras","2T23",138090,3966,278694,2651825,475806,14722,0,945704,733611,317589,164744,41,329054,1174,0,504641,0,0,408341,0,0,72192,8686,0,98559,163786,0,5153,1147,17949,0,670736,0,0,0,10001
"1.01.03","1.01.03 - Contas a Receber","2T23",85665,1526,678261,2316701,399289,13201,194134,1233832,280090,729542,668372,163048,771152,105322,236642,359637,14659,2689238,1563236,302482,579713,343002,166517,187829,416852,422847,300403,66226,40420,155810,452739,582839,632035,39076,366846,33505
"1.01.05","1.01.05 - Outros Ativos Circulantes","2T23",155245,806,72731,372502,390372,399,254234,123249,36282,314793,91218,12801,305952,52494,712360,7839,4199,2992530,0,10538,93919,134644,7876,62783,46413,882128,75700,13169,14049,56700,112684,232405,7646,23781,58018,22573
"1.02","1.02 - Ativo Não Circulante","2T23",1042071,94234,647819,7984810,3534218,1164808,335575,1399383,3378546,1588637,1781116,603781,7432000,211757,722029,464366,142789,12336422,428973,245972,448081,1926570,240767,100340,520748,261702,1604179,290347,347395,736388,1840142,2082592,688929,160550,278482,240302
"1.02.01","1.02.01 - Ativo Realizável a Longo Prazo","2T23",509071,93253,512624,5321244,3236456,1164808,291667,1335079,2798019,923813,1087012,384532,1612167,174517,578610,363366,12656,7222467,400342,240484,402647,1589329,208895,70325,431278,230810,1499594,264905,344566,252198,1162550,1810331,452494,147931,251929,29684
"1.02.01.04","1.02.01.02 - Contas a Receber","2T23",99438,4384,407428,643587,347949,6145,189900,603591,823337,103960,308935,191900,537631,12326,237014,152451,9697,1954635,390151,213016,129413,517451,25747,39359,358828,127064,967184,33313,57917,63902,68716,509685,152276,74,133357,29335
"1.02.01.06","1.02.01.05 - Outros Ativos Não Circulantes","2T23",409633,6512,40822,210977,114238,13434,100826,55555,208289,340122,78761,1758,101253,54412,341596,11851,2732,1266271,0,1440,48000,530003,96493,18703,3428,103194,16994,43922,0,7292,87863,30062,4041,20571,3141,0
"1.02.02","1.02.02 - Investimentos","2T23",23250,0,101902,2323931,142090,0,644,46319,534980,451890,604887,201439,4168491,16246,121460,90649,128929,4101508,16396,0,3013,297120,29136,8967,29031,13277,78839,24590,643,458991,439605,46218,143948,9768,4957,201308
"1.02.03","1.02.03 - Imobilizado","2T23",9403,848,33293,136772,129142,0,41324,17848,43869,24498,86930,17771,1517561,1952,14308,9714,1058,832637,12044,5488,30402,37500,1987,21048,52041,11805,19342,183,2186,12767,32900,185562,88683,2707,21537,9310
"1.02.04","1.02.04 - Intangível","2T23",500347,133,0,202863,26530,0,1940,137,1678,188436,2287,39,133781,19042,7651,637,146,179810,191,0,12019,2621,749,0,8398,5810,6404,669,0,12432,205087,40481,3804,144,59,0
"2","2 - Passivo Total","2T23",1422975,104682,2836650,16825149,6806671,1328448,928949,6874003,5708397,5465380,5512858,1046809,10661379,1136678,1842891,2031994,204899,23344674,2402663,897650,2165804,3077292,1100906,792329,1820265,1891634,2305417,645041,470701,1567755,4247837,4306526,2677370,325398,1774430,499737
"2.01","2.01 - Passivo Circulante","2T23",1204201,3445,791461,3334911,905389,59266,254761,1873217,453463,1671111,1031350,427930,943900,1088388,421827,362117,34161,5343814,634557,501282,603229,416967,3583086,229748,709849,499049,410970,1500839,114211,234925,504925,1597540,702450,150818,426537,157391
"2.01.01","2.01.01 - Obrigações Sociais e Trabalhistas","2T23",53279,0,26462,163418,48699,1328,14954,0,11829,12622,10129,15790,0,2942,8721,7943,4967,201847,0,276,16334,30261,8999,0,18590,23375,14020,856,2063,16295,30436,81390,7465,3829,4172,3156
"2.01.02","2.01.02 - Fornecedores","2T23",42060,2535,118958,262237,119771,14317,28029,144666,62420,48210,43032,85262,0,66141,40830,19818,6489,740500,49107,66918,43390,71699,257097,88892,95785,234273,40757,41003,25064,19870,76107,119884,48664,9520,63459,10603
"2.01.04","2.01.04 - Empréstimos e Financiamentos","2T23",530265,0,138967,1277931,336801,0,107895,63740,128880,678211,696702,120732,294550,497809,172614,1527,12296,1781876,47585,0,244041,26441,1381159,79389,266695,113149,181970,622572,38881,89047,22907,572975,435159,32579,93967,59353
"2.01.05","2.01.05 - Outras Obrigações","2T23",578597,772,475440,1535083,370221,41494,82591,1664811,216147,867696,275919,151818,649350,448324,186567,315593,10237,2477207,516863,428858,279663,268013,1899496,61467,295693,99815,168036,836408,28872,99075,354523,791547,207047,77349,257709,83275
"2.02","2.02 - Passivo Não Circulante","2T23",729113,13155,942702,5246533,4290672,192874,162964,2145601,611308,2016894,2252836,458283,4331347,783081,591456,358199,140357,11189303,475492,237298,499607,1407360,2739612,120220,575633,867452,1250153,345489,292240,701631,1082978,2015130,613364,156125,1073975,245671
"2.02.01","2.02.01 - Empréstimos e Financiamentos","2T23",569303,0,360640,3564297,1135117,190124,83524,881584,554276,1278276,1372965,159971,2798361,113680,295682,64443,49634,6346410,191035,0,336999,166175,0,85812,311970,439946,554917,0,100852,574484,581767,788565,556852,364,858101,93445
"2.02.02","2.02.02 - Outras Obrigações","2T23",159810,13155,582062,1682236,3155555,2750,79440,1264017,57032,738618,879871,298312,1532986,669401,295774,293756,90723,4842893,284457,237298,162608,1241185,2739612,34408,263663,427506,695236,345489,191388,127147,501211,1226565,56512,155761,215874,152226
"2.03","2.03 - Patrimônio Líquido","2T23",-510339,88082,1102487,8243705,1610610,1076308,511224,2855185,4643626,1777375,2228672,160596,5386132,-734791,829608,1311678,30381,6811557,1292614,159070,1062968,1252965,-5221792,442361,534783,525133,644294,-1201287,64250,631199,2659934,693856,1361556,18455,273918,96675
"2.03.01","2.03.01 - Capital Social Realizado","2T23",1760787,122649,291054,3395744,752982,1068440,275500,1657409,2888997,1416102,1310225,87196,1865950,2103387,677112,1133581,13153,4615807,1109029,30000,959493,1297852,5703542,265008,269172,168231,512438,2654090,1000,1868316,531182,1095511,866080,2723788,75348,41975
"2.03.02","2.03.02 - Reservas de Capital","2T23",1056233,0,5388,-72755,173311,0,0,13250,-56298,198322,-61973,0,0,0,-3017,-44593,0,95507,-9816,0,0,24817,1236743,16611,259,-29700,-15876,20953,0,-41038,1919551,11783,-11956,-83099,-3655,21000
"2.03.05","2.03.05 - Lucros/Prejuízos Acumulados","2T23",-3333473,-34574,0,442961,163193,-3833,-912,110789,0,162153,13645,70354,0,-2743250,12522,0,6730,211675,41893,123070,0,-158605,-12092714,53291,0,0,-16860,-3875130,0,-1228617,28806,-52438,0,-2622234,0,0
"2.03.09","2.03.09 - Participação dos Acionistas Não Controladores","2T23",6114,-20,137528,723725,154579,0,56257,833429,66449,798,842877,0,349791,-93917,62616,82495,0,792567,97304,0,34754,-4072,-66742,0,157313,4070,22180,-1200,10244,32538,18796,6037,52391,0,175306,37822
"1.01.04","1.01.04 - Estoques","2T23",0,4150,602449,3267450,1369589,131816,0,3164451,1232062,2503777,2545132,228329,1448869,748052,0,660639,30978,4716628,0,158904,866011,407503,602049,164028,458438,0,288801,265233,49429,457697,1457556,675178,1071082,71360,978482,178875
"1.02.01.05","1.02.01.03 - Estoques","2T23",0,82357,55154,2211947,2774269,1145229,0,473216,1728646,385887,632382,166442,935198,106685,0,160899,227,3922938,0,0,207285,541875,86655,12263,52547,0,503467,184066,255912,114584,983155,1240414,256759,127081,0,0
"2.01.03","2.01.03 - Obrigações Fiscais","2T23",0,138,31634,96242,29897,2127,21292,0,34187,64372,5568,54328,0,73172,13095,17236,172,142384,21002,5230,19801,20553,36335,0,33086,28437,6187,0,19331,10638,20952,31744,4115,27541,7230,1004
"2.03.08","2.03.08 - Outros Resultados Abrangentes","2T23",0,27,0,375457,0,0,0,0,0,0,0,0,0,-1011,0,6312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1.02.01.09","1.02.01.04 - Créditos com Partes Relacionadas","2T23",0,0,9220,492168,0,0,941,193323,37747,0,66934,24432,38085,991,0,31853,0,78623,797,26028,17949,0,0,0,13724,0,5000,3604,30737,61691,22816,30170,39418,205,115431,349
"2.03.04","2.03.04 - Reservas de Lucros","2T23",0,0,668517,3378573,398425,11701,180379,240308,1744478,0,117655,3046,3170391,0,80375,133883,10498,1147356,54204,6000,68721,0,-2621,107451,108039,382532,142412,0,53006,0,161599,-367037,455041,0,26919,-4122
"1.02.01.01","1.02.01.01 - Aplicações Financeiras","2T23",0,0,0,1762565,0,0,0,9394,0,93844,0,0,0,103,0,6312,0,0,9394,0,0,0,0,0,2751,552,6949,0,0,4729,0,0,0,0,0,0
"2.03.06","2.03.06 - Ajustes de Avaliação Patrimonial","2T23",0,0,0,0,-31880,0,0,0,0,0,6243,0,0,0,0,0,0,-51355,0,0,0,92973,0,0,0,0,0,0,0,0,0,0,0,0,0,0
